Rank,Address,Address_Nametag,Quantity,Percentage
"301","0x6d4607c4931e953494a7481f3463fc89f4ea684b","","1","0.0376%"
"302","0x6de292833c469effdd30c64c6caeb662c24e263d","","1","0.0376%"
"303","0x6fa9b344e1c241977157db8f65ee6369c0472781","crytollie.eth","1","0.0376%"
"304","0x73f1c836aa6eeeea0f1b7ec9cf437cc95cb13c1c","","1","0.0376%"
"305","0x7562a3ad3f98b3305d7ba717fd538f9e5fbe63a0","","1","0.0376%"
"306","0x771832aee5a112086537a2300f42d24d4f348cf4","","1","0.0376%"
"307","0x773b351b7986ddca313131b46f38dcc790858d14","","1","0.0376%"
"308","0x7d9c1838a137101d421f089c6f8df592106aeeca","","1","0.0376%"
"309","0x7e1404d8d38347d62424aab978703026c3c706ad","mjay42069.eth","1","0.0376%"
"310","0x8043c386a4d4b63adec2de52b80901e23f1d0a0b","reauxs.eth","1","0.0376%"
"311","0x817b42b632d1a786c753eb42279b40f8b75d2a96","","1","0.0376%"
"312","0x824f8d3bb19a677f6ccd9f40aa680aa62149412b","","1","0.0376%"
"313","0x83d8fc807c38a980f66fdb3591e5a94ef61a4727","","1","0.0376%"
"314","0x847025f054d24c71a5086df70e32cf150f0668ff","","1","0.0376%"
"315","0x8546319e1650bdf1cd9629d29eb261109a1a0643","","1","0.0376%"
"316","0x86e89495cd12f213a20835b049c70225f232071e","","1","0.0376%"
"317","0x873cb39bc4f6ba58f69e5825de2a20f771e38851","","1","0.0376%"
"318","0x8872913f8fbf05d6b8d3b6f7d941419c834cf653","","1","0.0376%"
"319","0x8a9becb5cbf90e43c44b0bfc0659a483e043f40b","","1","0.0376%"
"320","0x8b6331694fcf3834e9ad4ddd05db1a06f57c61c6","","1","0.0376%"
"321","0x8c5f06fc24883f1cb6c83a7f6bdef389eeac0a46","","1","0.0376%"
"322","0x8c6a450a96d2935f305d9dbc540899a8145c5be1","","1","0.0376%"
"323","0x8cf02397ee53ae0f3404f84c19723f845942bf72","","1","0.0376%"
"324","0x8ddfe2cdc5d73eda2e61b65b2473c0c2195bc274","","1","0.0376%"
"325","0x8ee1872d70bf55046ddf65ae0a9608c2be9567bf","6969whale.eth","1","0.0376%"
"326","0x903d99ab725bd6fe7aaeee5d1c1bd0875aa60df9","","1","0.0376%"
"327","0x9122fdd8a48feae532f76f8f354073e4a9273604","","1","0.0376%"
"328","0x9304201a8456285f15042ad7d93ad07684ade166","zombierob.eth","1","0.0376%"
"329","0x95a29ae330bd3c8b804596dfe7c3b3463c629ebb","","1","0.0376%"
"330","0x97172754c23687f4c2141631747324429c48f56d","","1","0.0376%"
"331","0x9803d2482de87781e053277b510f158b024663a3","dinhareo.eth","1","0.0376%"
"332","0x9964cb33ddf2ce2e5928f2e363cfe23243ae6dcb","gotinearly24.eth","1","0.0376%"
"333","0x9af31859083762fe0dc47c1f0fa21d85b145f1a5","","1","0.0376%"
"334","0xa318957ec0b0ba2aadbde8cd805bc347c2b1cdaa","","1","0.0376%"
"335","0xa65159c939fbed795164bb40f7507d9e5d54ff22","","1","0.0376%"
"336","0xa654574e1a742ad939eae8a335ddc99e70a4e76d","","1","0.0376%"
"337","0xa66bd570795cfb791916ee6cb7a8e4d7ad391873","","1","0.0376%"
"338","0xb37312ffd661da7f7539f8f80004c869a1bc0e2f","lostintheworld.savedsouls.eth","1","0.0376%"
"339","0xb99978dfd6352e31bb4d6c8952aef5a9bde86724","","1","0.0376%"
"340","0xba0522e343c1a0f9c04dcd0bc57befe0e8349d56","","1","0.0376%"
"341","0xbba8ef452f7f34894d6a4deec9cb67bac9769415","","1","0.0376%"
"342","0xbbb47ec55bd14350750213d51f05acb3c1f0148e","","1","0.0376%"
"343","0xbda8e7fbaa92e5650c907843a9ba40258138e0b2","retardeddough.eth","1","0.0376%"
"344","0xbdf25c62519a04969df7c98be3b517e3ad358be6","","1","0.0376%"
"345","0xbff395770ea348d164a32aed959acd2c4da3be4a","","1","0.0376%"
"346","0xc25c391ce65f2deb678da6f4eb9e154468304208","","1","0.0376%"
"347","0xc362f2becebdc1ff152e645552e57a7013eb1b1a","","1","0.0376%"
"348","0xc73498b64a7a3b1aba6aacb3bc7fc3138408c289","","1","0.0376%"
"349","0xc98513bf3a053438715699d7f6e5d23811fded4a","","1","0.0376%"
"350","0xcaec6b9c2437a16bb0b26fbfdeaf985e732c280e","","1","0.0376%"
