Rank,Address,Address_Nametag,Quantity,Percentage
"51","0xa3870e15aa8f20a907c77a65238c39a27bae900a","","13","0.4885%"
"52","0xc410c8c596f070db1a7d1e4a0711328908e5ff9b","","13","0.4885%"
"53","0x88f882faeabaa2c4c74df4d41f2145b785e637d6","icebucket.ari3iz.eth","12","0.4510%"
"54","0xc0d44e845f41def6ac15dee4a69002a9b5729979","npcdev.eth","12","0.4510%"
"55","0xd05a86b9f803a4e68a0967e85947ce616be78cf5","unclemac.eth","12","0.4510%"
"56","0xdc0b3127a71367227311f02fe4dda2a6ccdbae78","lucha.eth","12","0.4510%"
"57","0xee74363938c9e3093d2de39b23e9744a74689b8b","","12","0.4510%"
"58","0xf246f2d7b74b062184c94a4da721c86d55b2048e","","12","0.4510%"
"59","0x5f0f784836f64d21f8a2afd9c38c54f2c23f797c","","11","0.4134%"
"60","0x637b87dbd609bef12f8d164d306c0ce7dae65057","","11","0.4134%"
"61","0x77876402b9e9bc94ffa5c3b9a2eee52cdba54fc2","","11","0.4134%"
"62","0xd49a8ec0338878cd7d4b7d12acc5860f609faa29","theaspiringnobody.eth","11","0.4134%"
"63","0x32d3efdd32b1ed80ee06d1a3bd7a96d747bcd8e2","","10","0.3758%"
"64","0x9814fc9368ba5242d558642e0dac716a75757b99","dillydilly.eth","10","0.3758%"
"65","0xc860c87124e86e5dd4435099c9d494c9f144e70f","","10","0.3758%"
"66","0x3436100674492bce353c6709ec11ded32b1a797a","","9","0.3382%"
"67","0x966b338fd1c3bdaf23c15c013cdc60896f7f40a8","","9","0.3382%"
"68","0xc35dd5c1dc3cbf6f6ac09fe7453f59b2e77fb0be","","9","0.3382%"
"69","0xc5a4c5ac7347c63b3e9c687c53033f555bf05db1","","9","0.3382%"
"70","0xd1cf55ad55fb21bbed848ee6670124b6ec3e7b45","","9","0.3382%"
"71","0x199a30051660f16cffd0a6bb1a60c55815c85062","","8","0.3006%"
"72","0x3ffe5433b896ae09c489e9c5949764c3c6719ee9","","8","0.3006%"
"73","0x5f7b0f7e77ee45988c714eadb6b97a1c626328a8","","8","0.3006%"
"74","0xb2a6d2782492ce869289bb3138bea8300ea519a1","","8","0.3006%"
"75","0xc5a48bdaa58f9f65323c699862297108090b3631","","8","0.3006%"
"76","0x35632b6976b5b6ec3f8d700fabb7e1e0499c1bfa","","7","0.2631%"
"77","0x35e20cdc75f46cc81a1847401b9156612b2dbe26","","7","0.2631%"
"78","0x98a7930fe1b9867f4d9d8de2a5a34b14f4ab53bf","","7","0.2631%"
"79","0xa4d53dddfc93a46fa4240d6203d798eec030d898","","7","0.2631%"
"80","0xf3cb88465f7ff4cb5b509a4fde91d8132c5c1ebd","jayism1.eth","7","0.2631%"
"81","0xf70e17b5afdf83899f9f4cb7c7f9d56867d138c7","ruggerdev.eth","7","0.2631%"
"82","0xfda3d4c6249aaf7cc12a2562fa0b60562aba5e76","","7","0.2631%"
"83","0x1f8a8ac54244e4016a376152b2f92d467552fa7b","shariq.eth","6","0.2255%"
"84","0x25fc4046f3c262503bc7b5590842409ec542d982","mickle.eth","6","0.2255%"
"85","0x3553c40718e9aee0fb687265772e18c0f4fbae5d","","6","0.2255%"
"86","0x3dd3902eb212fc124a8c87afc751428e0d329f4e","","6","0.2255%"
"87","0x3fb57ea659c402984f2dcf29edd3542775b8d0f0","","6","0.2255%"
"88","0x5a13d81415432ad7ff0108c21843bb5d07e76242","","6","0.2255%"
"89","0x5c93e241268831501cb11e31b5afe72ded3714aa","","6","0.2255%"
"90","0x5fa6a389d8a8b626e2bf282563612cc824edf206","jakett.eth","6","0.2255%"
"91","0x68735cfd2c3e7691d53ddec32f1d781d292859be","","6","0.2255%"
"92","0x7ca11719c8365847d3e853627c31cd239d70a373","","6","0.2255%"
"93","0x8453d1262440ad1bcdd3eecdaab7ae2b62b0785e","","6","0.2255%"
"94","0x912465725ec780b378f21644f1f90c8d4b06d47e","web3gatsby.eth","6","0.2255%"
"95","0x939ac38d9ee95e0e01b88086aab47786f8e61f5f","","6","0.2255%"
"96","0x9c68a39db0b77a97cb1b544ad85835b34c58ccd9","","6","0.2255%"
"97","0xaf4035a1bc8484579c19718f252ac3e89edcd7e9","","6","0.2255%"
"98","0xb7130b42b8c62e14fd614e91ab9c6c194040d9ab","","6","0.2255%"
"99","0xb7d032cc77919e17078a172ba98af27925a4a03d","thenose.eth","6","0.2255%"
"100","0xc1d868bf722dfeab3fc6cfe0a994549a2fd1f53e","whosbiggcrypto.eth","6","0.2255%"
