Rank,Address,Address_Nametag,Quantity,Percentage
"101","0xca50378eee9e4069114eaf301d813494ca190bb5","","6","0.2255%"
"102","0xdd1ecae49312f5a2fef65d13327e92d32864fdee","mx.q00t.eth","6","0.2255%"
"103","0xec980df7cfd8eafcd59cdfedaf97d09a67ed2cd2","benxb.eth","6","0.2255%"
"104","0xf3998eced96ae3cfe880ac9d2637b4118da48e22","astakalapa.eth","6","0.2255%"
"105","0xfdbbe7acae6caa050d1c0b29de51b6e11ce81bef","","6","0.2255%"
"106","0x00404ac28bb3a4fd9048c83c00a07f633c76b640","","5","0.1879%"
"107","0x0e3c7363decabfe24637caad9e6432c6ab750648","","5","0.1879%"
"108","0x26281dc4a26f3bf414ae2e7c54e5d1cc341fbe25","","5","0.1879%"
"109","0x2776a02fe8046dec55b1df8f4825dd5bb40dcadf","","5","0.1879%"
"110","0x299d49a1fcba97c4c2b1af564db213627891c4e5","","5","0.1879%"
"111","0x32aa2bf83034c46a9b1aa71b0c89d3948546600c","","5","0.1879%"
"112","0x3777844b3c5bafb4037b9bdb0580928decab95f7","","5","0.1879%"
"113","0x57bd5828b262845648cf93eca55c1cbe5f0634c9","","5","0.1879%"
"114","0x5f4a65618e78f0f460c4729c6f1f8532d738aa75","divaverse.eth","5","0.1879%"
"115","0x6100049d85a9b2cdb3c12048cd1d06221c9f96fd","","5","0.1879%"
"116","0x9a77cfc8785b08a69f2079d71c57fc115ea16f74","","5","0.1879%"
"117","0xaf4144c200cfcb09fc7695d38ff378225ddc5118","yaper.eth","5","0.1879%"
"118","0xb7ecbf7070e3fbb20ae7ad431933895439f7f32e","","5","0.1879%"
"119","0xbe18b5180dc6876640b4514f68b80f163f14080c","","5","0.1879%"
"120","0xc9a06b39ead6c1b4351a1f41e8c0c87378da3779","decentralisor.eth","5","0.1879%"
"121","0xcfeb2962cfb0233383743263cacd31557e0fc1b9","","5","0.1879%"
"122","0xe957e4dfd9a4e991f10a99d270cb811b1dddc361","","5","0.1879%"
"123","0xf11157f3e05eeda1317ff628930637b6656d25b3","brownbear29.eth","5","0.1879%"
"124","0x0064f54f2084758afa4e013b606a9fdd718ec53c","","4","0.1503%"
"125","0x28c1d4eee4e98fb57ac8604f90e5c6182f42c2ec","","4","0.1503%"
"126","0x3d35a18a3396f75149f57a6339013fe28c6f217d","","4","0.1503%"
"127","0x42d25912dc9945236c646f72d179bfe4547b8fb1","","4","0.1503%"
"128","0x47a1b19067f56672c4a1a7eaaa357ee45059ad19","","4","0.1503%"
"129","0x5b1adfa2d6d3247433b98d7dfd049d27245f5656","","4","0.1503%"
"130","0x5bdacd1b710ce51090499090cf3670c5858b7da2","","4","0.1503%"
"131","0x673920e96fee7556d84f2214f1aa02df786112e2","","4","0.1503%"
"132","0x72c2f4968360a0ca3864f4f5f94699668bbea1cf","","4","0.1503%"
"133","0x73a4a86286919e3126fc439709186d44e140ac70","kingthaboo.eth","4","0.1503%"
"134","0x79037baac8f1e9326d53e483b5373500ef720cd1","","4","0.1503%"
"135","0x886591a158ca2245365dde0e0e5a4e4e909de97a","","4","0.1503%"
"136","0x996945aab71109154169d5abe0ca49524708aeca","","4","0.1503%"
"137","0xb5e53a27b18fe41cc7421d58fe1c9f679dba1f8a","happywarbird.eth","4","0.1503%"
"138","0xb6b8b351fc8d7d1bf59e12a8769920947d8f7db4","","4","0.1503%"
"139","0xba55a4ad8b09c532fd5f330768a5c415e5cd689b","","4","0.1503%"
"140","0xc18379c75849eb2e8854a396b5d8ea86799467f1","","4","0.1503%"
"141","0xcd245eb87cce56756bbf4661a5a88999a48d8752","estebomb.eth","4","0.1503%"
"142","0xd23b06012790e2d8e01a7607127588b609c27f0c","ngbshpend.eth","4","0.1503%"
"143","0xd4405041ef26b50516c0d1bb68d8ef02a24d0313","","4","0.1503%"
"144","0xd54938767f1b643d3026fe575bd05ea8a6873ace","cryptobulliez.eth","4","0.1503%"
"145","0xd99ef9c441b4f8be1b495f7e60b86f3eee56326d","bonolis.eth","4","0.1503%"
"146","0xe22485a9b6d2f0d1e019bcfe6560c6ceaef126fe","","4","0.1503%"
"147","0xe8b85bd68e574f479631bad2c6b839a0eeb8d760","","4","0.1503%"
"148","0xeb5a6eb373a7ee735b80fe7ccb10df94e35cbeb7","","4","0.1503%"
"149","0x047a731c807d2291f2ab46cebb7d0541d9a65568","","3","0.1127%"
"150","0x055f86a0aaf702d7324076ae9c5b9aa203204ccd","faraz.eth","3","0.1127%"
