Rank,Address,Address_Nametag,Quantity,Percentage
"1","0x340c901c669a74b05c05b7e7c36ebbb5051b49a6","","100","3.7580%"
"2","0xc757a388e13ec1ace46c5fbd0e5eea4a205b549d","","95","3.5701%"
"3","0xd8c4ba9e4046d19cc3edbd6a20c83f3e58cf1337","mj129.eth","73","2.7433%"
"4","0x02e7e0ba8c1461d945d5041f77537826598415bc","","65","2.4427%"
"5","0xc6c6667b81adcd5b9a7f5f833d9a1cc8c28eb83b","","64","2.4051%"
"6","0xba2aa9a2196eac69eaaf20af730cd6f068bc62d8","","61","2.2924%"
"7","0x2c93b00ff220c5b0fcaef85d6ff01d1f1fd990df","benebla.eth","60","2.2548%"
"8","0x07f69617c4607bce4ea7d6e5a138f6dd0cae2765","","56","2.1045%"
"9","0xf4859a0d738bdda102380637799e24ea11c16d43","moonmode.eth","51","1.9166%"
"10","0x16ab799c9ce78d88e1992f2f825416a5c7475a9c","","50","1.8790%"
"11","0x0160c81774ba01530b8e6be98491de93633d4995","solo6313.eth","48","1.8038%"
"12","0x92654a6ef46119be845eb18dbcf7880471162de7","slaglord.eth","48","1.8038%"
"13","0x183588819c4f25341cad0476f09b3be6987f7f02","","42","1.5784%"
"14","0x5bc87b26f4b0879b320ca89f2103d2708c46eb45","","41","1.5408%"
"15","0xe86d78381c4cd7b4a67278e1194ca7babc363af9","veeman.eth","41","1.5408%"
"16","0x90ac4d3e3e21db847bf908892936cfc911e1de61","","36","1.3529%"
"17","0x787fd1e5aed5da2397d18bbc21b42c014b581a1e","","34","1.2777%"
"18","0x53167c24e33f7e48ebea2bcdf5608cdc8313683c","","32","1.2026%"
"19","0xf28eceedb8a7931604d2c090a407793d4bde73fd","smokingunzz.eth","31","1.1650%"
"20","0xf2c31ddf9a725d3c45bdd9a3c31f6bf715ae75bd","","30","1.1274%"
"21","0xfdaee6ab7117c152ed8205443096793aa117f4b7","halfbakedgenius.eth","30","1.1274%"
"22","0x21bca401c280c8492a1ca15d554382eecb92f2f3","chipm0nkey.eth","28","1.0522%"
"23","0x5352b6ddee06c27a545cc86924f078a29e3453ad","metabtrader.eth","28","1.0522%"
"24","0x59957e6b58dd78e9d4ec60a144cc8531b8a5409d","truthnft.eth","28","1.0522%"
"25","0x62ed759378160d283ff9c01660b3f55ca1c33e77","oxie32.eth","27","1.0147%"
"26","0x94d8702905262f9a287808c1b46642d2161d49f0","","27","1.0147%"
"27","0x3261e441142c819146642d637bc7139302320127","","25","0.9395%"
"28","0xe98f11c3fa4c16f69442555a4cfe809b959e3a4f","br4ve-trave1er.eth","25","0.9395%"
"29","0xf22bb1c67cefce284ef9a9b86d9376feb987f72a","dangit.eth","25","0.9395%"
"30","0x65cb0a1e041b875eb209199d38690e4e1ed11bb6","","24","0.9019%"
"31","0x7cee0618a6a6996b419f88e8f4f119793fdc9235","","24","0.9019%"
"32","0xb117404c6c97fbc448f200e7298f9b4f7bb01432","","23","0.8643%"
"33","0x2d595080be8eda1f72031795b8f09f6c8f6c9a7b","","20","0.7516%"
"34","0x3f5a1d51ceae77c4225a5fdd2427bc276da49cb3","thilozoran.eth","20","0.7516%"
"35","0x54adabd339de74e98d6d03d56c5e3f0c747925b4","","20","0.7516%"
"36","0x7c665f07f04e9e9645876312e67a67c5a091f82b","sambankrupt-fried.eth","20","0.7516%"
"37","0xc78c6bcb77af43305be3dc932d9814d31f78b6a8","","20","0.7516%"
"38","0x5ae8cee258fdcfff09b883f9f61d02778d8c6706","hodlerscorner.eth","19","0.7140%"
"39","0x3cf6231e5f87ce361cdecfaadb213dc2c6259a5c","ovensey.savedsouls.eth","18","0.6764%"
"40","0x4a5e7e4409edba23ecb0e56c48f0777e88e53270","","18","0.6764%"
"41","0xa5a58d362343025973aa284622b67db305eb749b","renga-racer.eth","17","0.6389%"
"42","0xfb4764915a0b9b8763155e0eb31a74b4820790d3","","17","0.6389%"
"43","0x61f3534c21316631114daf71631d385431d397ad","aviv.eth","16","0.6013%"
"44","0xa6d873e66874780a03c5fd7fb86996bb310271bb","","16","0.6013%"
"45","0x0a591c55351ae0b214f80131266309270634de88","","15","0.5637%"
"46","0xa6c6ce27ea58a45a5d6b13fd132964e3dab15dad","","15","0.5637%"
"47","0x0330b487e64684d2ff5a8e71e309b5e3c05af782","","14","0.5261%"
"48","0x11ebe7bf2e921f3ce2b3ce3c45e46639d9228497","","13","0.4885%"
"49","0x1c3046f0cabbe1d82f3b78f3b7747ca12cc271fc","","13","0.4885%"
"50","0x98b148b21284c15769b3a56d77118c804beee0a8","","13","0.4885%"
