Rank,Address,Address_Nametag,Quantity,Percentage
"351","0xcb2e8c6866b2b68a70197359e76ae594ed307d7e","heppe.eth","1","0.0376%"
"352","0xce1d5d3fa6cf0f06ed5a005b093d943f1407ea7e","clarkvault.eth","1","0.0376%"
"353","0xd5cd731d196226cd4f80fa91dab28f5d53ab8264","cdnhodler.eth","1","0.0376%"
"354","0xd796bd30280ac676a1a2f01b3c0279f786ed33c0","willwork4fud.eth","1","0.0376%"
"355","0xd7b0f8bfb3ab9a81c0a37d1b7a61f029ed5be540","","1","0.0376%"
"356","0xdac4074c77971e6511b59a13e7a94cd614da87e6","","1","0.0376%"
"357","0xdb23145b64d0e1e15dedf47abd77ccaf3f2327d7","oregonguy.eth","1","0.0376%"
"358","0xdc807e8d4838a7472ca6ef123d0f25dd4e79e5a5","","1","0.0376%"
"359","0xdd575e53f092c0170241ee7a51a4c502d50ba63b","","1","0.0376%"
"360","0xdf02759b203489d1507b7824529421e48ec514c1","","1","0.0376%"
"361","0xe22a7059212843feb450a242b3250d0747a5e92f","alhicks21.eth","1","0.0376%"
"362","0xe86c40ab0f182ce4a7f2ec299080bcb741154720","","1","0.0376%"
"363","0xe9dc8606e049a0d0f97d887f1fd4d06e23d9de95","","1","0.0376%"
"364","0xebdfd4810f8c4c19420c1c64bb6e9195d9d12ee1","","1","0.0376%"
"365","0xec371e827ec993c3e810b8f9d4ae544c8a5ffb2c","","1","0.0376%"
"366","0xed4c2df49e8bdd1d70841244c56cbdb11552038b","","1","0.0376%"
"367","0xef9bef662084ddfebb718b67c3f150ee83e00f8d","","1","0.0376%"
"368","0xf27f13d3339d9a980675ac6d4748c9869c05b6ec","","1","0.0376%"
"369","0xf8e048dd8898cbe6a097c3684b7cd029083cdf46","","1","0.0376%"
"370","0xfbd5d55759db49091d54abb59bd68a38039619e6","","1","0.0376%"
"371","0xfc6f3a3874c75c887df42605fa0150b9cdbca81e","","1","0.0376%"
"372","0xfdf4e146dc8ef8fb05e8cc7ea6431aae789d4901","sirmintzalot.eth","1","0.0376%"
"373","0xfe06fac5a7744a164fea07df0a7df59714337254","","1","0.0376%"
